Task,Description,Success Rate (%),Future Video PSNR (dB)
libero_10_0,turn on the stove and put the moka pot on it table 1,0.00,25.4202
libero_10_2,turn on the stove and put the moka pot on it table 12,0.00,16.7634
libero_10_33,put the black bowl in the bottom drawer of the cabinet and close it table 1,0.00,22.4933
libero_10_35,put the black bowl in the bottom drawer of the cabinet and close it table 12,0.00,28.4087
libero_10_137,put both the alphabet soup and the cream cheese box in the basket table 1,100.00,24.0777
libero_10_138,put both the alphabet soup and the cream cheese box in the basket table 12,100.00,26.0903
libero_10_147,put both the alphabet soup and the tomato sauce in the basket table 12,100.00,25.6635
libero_10_160,put both the cream cheese box and the butter in the basket table 12,100.00,26.7648
libero_10_193,put the white mug on the left plate and put the yellow and white mug on the right plate table 1,0.00,25.5145
libero_10_195,put the white mug on the left plate and put the yellow and white mug on the right plate table 12,0.00,27.6977
libero_10_289,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 1,0.00,25.0965
libero_10_290,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 11,0.00,24.8946
libero_10_330,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 2,100.00,28.0233
libero_10_331,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 42,100.00,27.9931
libero_10_365,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 3,0.00,25.7980
libero_10_366,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 13,0.00,25.4780
libero_10_411,put the black bowl in the bottom drawer of the cabinet and close it view 0 0 100 0 0 initstate 24,0.00,25.3286
libero_10_458,put the white mug on the left plate and put the yellow and white mug on the right plate view 0 0 100 0 0 initstate 125,0.00,29.7583
libero_10_567,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 8,100.00,28.7398
libero_10_568,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 78,100.00,28.6173
libero_10_1933,turn on the stove and put the moka pot on it add 14,100.00,26.5952
libero_10_1959,put the black bowl in the bottom drawer of the cabinet and close it add 10,100.00,27.4980
libero_10_1960,put the black bowl in the bottom drawer of the cabinet and close it add 11,100.00,27.7195
libero_10_2047,put both the alphabet soup and the cream cheese box in the basket add 27,100.00,27.3023
libero_10_2059,put both the alphabet soup and the tomato sauce in the basket add 1,100.00,28.5916
libero_10_2060,put both the alphabet soup and the tomato sauce in the basket add 10,100.00,28.6513
libero_10_2093,put both the cream cheese box and the butter in the basket add 10,100.00,28.2543
libero_10_2094,put both the cream cheese box and the butter in the basket add 11,100.00,27.9891
libero_10_2127,put the white mug on the left plate and put the yellow and white mug on the right plate add 1,0.00,27.6082
libero_10_2128,put the white mug on the left plate and put the yellow and white mug on the right plate add 10,0.00,29.6404
