Task,Description,Success Rate (%),Future Video PSNR (dB)
libero_10_0,turn on the stove and put the moka pot on it table 1,100.00,25.5255
libero_10_2,turn on the stove and put the moka pot on it table 12,0.00,16.7390
libero_10_33,put the black bowl in the bottom drawer of the cabinet and close it table 1,0.00,23.3015
libero_10_35,put the black bowl in the bottom drawer of the cabinet and close it table 12,100.00,32.1755
libero_10_137,put both the alphabet soup and the cream cheese box in the basket table 1,100.00,23.9387
libero_10_138,put both the alphabet soup and the cream cheese box in the basket table 12,100.00,26.0543
libero_10_145,put both the alphabet soup and the tomato sauce in the basket table 1,100.00,27.3371
libero_10_147,put both the alphabet soup and the tomato sauce in the basket table 12,100.00,24.8927
libero_10_158,put both the cream cheese box and the butter in the basket table 1,0.00,25.0890
libero_10_160,put both the cream cheese box and the butter in the basket table 12,100.00,26.2166
libero_10_193,put the white mug on the left plate and put the yellow and white mug on the right plate table 1,0.00,26.4626
libero_10_195,put the white mug on the left plate and put the yellow and white mug on the right plate table 12,0.00,29.2723
libero_10_289,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 1,0.00,25.2309
libero_10_290,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 11,0.00,24.7122
libero_10_330,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 2,100.00,28.3224
libero_10_331,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 42,100.00,27.9732
libero_10_365,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 3,100.00,25.4927
libero_10_366,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 13,100.00,25.2491
libero_10_410,put the black bowl in the bottom drawer of the cabinet and close it view 0 0 100 0 0 initstate 14,100.00,26.1861
libero_10_411,put the black bowl in the bottom drawer of the cabinet and close it view 0 0 100 0 0 initstate 24,0.00,26.1297
libero_10_457,put the white mug on the left plate and put the yellow and white mug on the right plate view 0 0 100 0 0 initstate 115,100.00,30.5691
libero_10_458,put the white mug on the left plate and put the yellow and white mug on the right plate view 0 0 100 0 0 initstate 125,0.00,27.6359
libero_10_567,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 8,100.00,28.3914
libero_10_568,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 78,100.00,28.6211
libero_10_1933,turn on the stove and put the moka pot on it add 14,100.00,26.5484
libero_10_1945,turn on the stove and put the moka pot on it add 7,100.00,26.6638
libero_10_1959,put the black bowl in the bottom drawer of the cabinet and close it add 10,100.00,27.4460
libero_10_1960,put the black bowl in the bottom drawer of the cabinet and close it add 11,100.00,26.4828
libero_10_2046,put both the alphabet soup and the cream cheese box in the basket add 18,100.00,27.7565
libero_10_2047,put both the alphabet soup and the cream cheese box in the basket add 27,100.00,27.2047
libero_10_2059,put both the alphabet soup and the tomato sauce in the basket add 1,100.00,28.2543
libero_10_2060,put both the alphabet soup and the tomato sauce in the basket add 10,100.00,28.6763
libero_10_2093,put both the cream cheese box and the butter in the basket add 10,100.00,27.6553
libero_10_2094,put both the cream cheese box and the butter in the basket add 11,100.00,28.4335
libero_10_2127,put the white mug on the left plate and put the yellow and white mug on the right plate add 1,100.00,28.1704
libero_10_2128,put the white mug on the left plate and put the yellow and white mug on the right plate add 10,0.00,29.4788
