Task,Description,Success Rate (%),Future Video PSNR (dB)
libero_10_0,turn on the stove and put the moka pot on it table 1,100.00,25.7396
libero_10_2,turn on the stove and put the moka pot on it table 12,0.00,16.7141
libero_10_33,put the black bowl in the bottom drawer of the cabinet and close it table 1,0.00,26.2835
libero_10_35,put the black bowl in the bottom drawer of the cabinet and close it table 12,0.00,31.9576
libero_10_137,put both the alphabet soup and the cream cheese box in the basket table 1,100.00,24.0305
libero_10_138,put both the alphabet soup and the cream cheese box in the basket table 12,100.00,25.9664
libero_10_147,put both the alphabet soup and the tomato sauce in the basket table 12,100.00,24.9093
libero_10_160,put both the cream cheese box and the butter in the basket table 12,100.00,26.6420
libero_10_193,put the white mug on the left plate and put the yellow and white mug on the right plate table 1,0.00,26.4138
libero_10_195,put the white mug on the left plate and put the yellow and white mug on the right plate table 12,0.00,28.7335
libero_10_289,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 1,0.00,25.0221
libero_10_290,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 11,0.00,24.4622
libero_10_330,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 2,100.00,27.7632
libero_10_331,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 42,100.00,27.7876
libero_10_365,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 3,100.00,25.9314
libero_10_366,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 13,100.00,26.2829
libero_10_411,put the black bowl in the bottom drawer of the cabinet and close it view 0 0 100 0 0 initstate 24,0.00,23.7822
libero_10_458,put the white mug on the left plate and put the yellow and white mug on the right plate view 0 0 100 0 0 initstate 125,0.00,27.8184
libero_10_567,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 8,100.00,29.0178
libero_10_568,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 78,100.00,28.7660
libero_10_1933,turn on the stove and put the moka pot on it add 14,100.00,27.1009
libero_10_1959,put the black bowl in the bottom drawer of the cabinet and close it add 10,100.00,28.5987
libero_10_1960,put the black bowl in the bottom drawer of the cabinet and close it add 11,100.00,27.7309
libero_10_2047,put both the alphabet soup and the cream cheese box in the basket add 27,100.00,27.1128
libero_10_2059,put both the alphabet soup and the tomato sauce in the basket add 1,100.00,28.4939
libero_10_2060,put both the alphabet soup and the tomato sauce in the basket add 10,100.00,28.9468
libero_10_2093,put both the cream cheese box and the butter in the basket add 10,100.00,27.6730
libero_10_2094,put both the cream cheese box and the butter in the basket add 11,100.00,28.0195
libero_10_2127,put the white mug on the left plate and put the yellow and white mug on the right plate add 1,0.00,27.8282
libero_10_2128,put the white mug on the left plate and put the yellow and white mug on the right plate add 10,0.00,29.0865
