Task,Description,Success Rate (%),Future Video PSNR (dB)
libero_10_0,turn on the stove and put the moka pot on it table 1,0.00,25.0716
libero_10_2,turn on the stove and put the moka pot on it table 12,0.00,18.2614
libero_10_33,put the black bowl in the bottom drawer of the cabinet and close it table 1,0.00,20.7226
libero_10_35,put the black bowl in the bottom drawer of the cabinet and close it table 12,0.00,29.2814
libero_10_137,put both the alphabet soup and the cream cheese box in the basket table 1,100.00,24.2357
libero_10_138,put both the alphabet soup and the cream cheese box in the basket table 12,100.00,26.5469
libero_10_147,put both the alphabet soup and the tomato sauce in the basket table 12,100.00,25.2453
libero_10_160,put both the cream cheese box and the butter in the basket table 12,0.00,26.7017
libero_10_193,put the white mug on the left plate and put the yellow and white mug on the right plate table 1,0.00,25.3681
libero_10_195,put the white mug on the left plate and put the yellow and white mug on the right plate table 12,0.00,33.4341
libero_10_289,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 1,0.00,26.0241
libero_10_290,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 11,0.00,25.6526
libero_10_330,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 2,100.00,27.7751
libero_10_331,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 42,100.00,28.4556
libero_10_365,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 3,0.00,26.2432
libero_10_366,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 13,0.00,26.2884
libero_10_411,put the black bowl in the bottom drawer of the cabinet and close it view 0 0 100 0 0 initstate 24,0.00,25.2857
libero_10_458,put the white mug on the left plate and put the yellow and white mug on the right plate view 0 0 100 0 0 initstate 125,0.00,27.7476
libero_10_567,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 8,100.00,29.2542
libero_10_568,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 78,100.00,28.6173
libero_10_1933,turn on the stove and put the moka pot on it add 14,100.00,26.8621
libero_10_1959,put the black bowl in the bottom drawer of the cabinet and close it add 10,100.00,27.7275
libero_10_1960,put the black bowl in the bottom drawer of the cabinet and close it add 11,100.00,27.7443
libero_10_2047,put both the alphabet soup and the cream cheese box in the basket add 27,100.00,27.4743
libero_10_2059,put both the alphabet soup and the tomato sauce in the basket add 1,100.00,28.8001
libero_10_2060,put both the alphabet soup and the tomato sauce in the basket add 10,100.00,28.7351
libero_10_2093,put both the cream cheese box and the butter in the basket add 10,100.00,28.1876
libero_10_2094,put both the cream cheese box and the butter in the basket add 11,100.00,27.8041
libero_10_2127,put the white mug on the left plate and put the yellow and white mug on the right plate add 1,0.00,28.2851
libero_10_2128,put the white mug on the left plate and put the yellow and white mug on the right plate add 10,0.00,29.1026
